IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
84.235.171.177,443,443,true,FRA,Europe,Frankfurt,172,9.98
141.144.255.107,443,443,true,FRA,Europe,Frankfurt,164,9.96
141.148.224.231,443,443,true,FRA,Europe,Frankfurt,171,9.95
143.47.182.7,443,443,true,FRA,Europe,Frankfurt,172,9.95
141.144.202.132,443,443,true,FRA,Europe,Frankfurt,166,9.94
130.61.192.90,443,443,true,FRA,Europe,Frankfurt,166,9.93
141.147.78.209,443,443,true,FRA,Europe,Frankfurt,198,9.93
141.147.70.163,443,443,true,FRA,Europe,Frankfurt,169,9.91
144.21.53.28,443,443,true,FRA,Europe,Frankfurt,197,9.91
141.147.83.84,443,443,true,FRA,Europe,Frankfurt,176,9.90
141.148.233.181,443,443,true,FRA,Europe,Frankfurt,188,9.90
89.168.76.84,443,443,true,FRA,Europe,Frankfurt,204,9.89
152.70.51.94,443,443,true,FRA,Europe,Frankfurt,159,9.88
141.148.244.243,443,443,true,FRA,Europe,Frankfurt,165,9.87
130.61.203.115,2053,443,true,FRA,Europe,Frankfurt,160,9.86
152.70.52.215,443,443,true,AMS,Europe,Amsterdam,188,9.82
140.238.126.231,443,443,true,FRA,Europe,Frankfurt,205,9.82
192.9.137.193,8443,443,true,SJC,North America,San Jose,178,9.81
152.70.62.23,443,443,true,FRA,Europe,Frankfurt,176,9.81
158.101.217.217,443,443,true,FRA,Europe,Frankfurt,172,9.80
84.235.168.15,443,443,true,FRA,Europe,Frankfurt,175,9.80
150.230.34.116,443,443,true,SJC,North America,San Jose,173,9.78
132.226.207.41,443,443,true,FRA,Europe,Frankfurt,174,9.78
143.47.235.15,443,443,true,FRA,Europe,Frankfurt,174,9.72
141.148.227.10,443,443,true,FRA,Europe,Frankfurt,171,9.71
79.72.75.80,443,443,true,FRA,Europe,Frankfurt,204,9.71
79.72.66.125,443,443,true,FRA,Europe,Frankfurt,220,9.70
132.226.198.224,443,443,true,FRA,Europe,Frankfurt,160,9.69
132.145.228.242,443,443,true,FRA,Europe,Frankfurt,165,9.66
132.145.234.145,443,443,true,FRA,Europe,Frankfurt,152,9.65
84.8.153.200,443,443,true,FRA,Europe,Frankfurt,188,9.65
89.168.112.118,8443,443,true,FRA,Europe,Frankfurt,174,9.63
141.147.90.252,443,443,true,FRA,Europe,Frankfurt,177,9.59
143.47.228.158,443,443,true,FRA,Europe,Frankfurt,168,9.57
144.24.169.81,2053,443,true,FRA,Europe,Frankfurt,181,9.54
141.147.21.187,443,443,true,FRA,Europe,Frankfurt,153,9.54
130.61.23.77,443,443,true,FRA,Europe,Frankfurt,166,9.54
141.148.237.141,443,443,true,FRA,Europe,Frankfurt,185,9.51
193.123.35.188,443,443,true,FRA,Europe,Frankfurt,173,9.43
130.162.252.37,443,443,true,FRA,Europe,Frankfurt,167,9.43
141.147.117.85,443,443,true,FRA,Europe,Frankfurt,199,9.42
158.101.215.51,443,443,true,FRA,Europe,Frankfurt,186,9.42
141.147.25.140,443,443,true,FRA,Europe,Frankfurt,167,9.42
132.145.15.204,443,443,true,FRA,Europe,Frankfurt,177,9.38
141.148.227.102,443,443,true,FRA,Europe,Frankfurt,178,9.36
89.168.103.25,443,443,true,FRA,Europe,Frankfurt,174,9.32
132.145.247.146,443,443,true,FRA,Europe,Frankfurt,173,9.28
138.2.142.224,443,443,true,FRA,Europe,Frankfurt,175,9.22
132.226.209.113,443,443,true,FRA,Europe,Frankfurt,172,9.19
79.72.66.40,443,443,true,FRA,Europe,Frankfurt,199,9.14
130.162.182.188,443,443,true,FRA,Europe,Frankfurt,193,9.11
139.185.34.131,443,443,true,CDG,Europe,Paris,94,9.07
158.179.206.143,443,443,true,ARN,Europe,Stockholm,207,9.06
130.162.185.111,443,443,true,FRA,Europe,Frankfurt,173,9.02
141.147.70.190,443,443,true,FRA,Europe,Frankfurt,183,9.00
158.180.43.220,443,443,true,FRA,Europe,Frankfurt,173,8.99
141.148.230.17,443,443,true,FRA,Europe,Frankfurt,188,8.95
141.147.61.116,2053,443,true,FRA,Europe,Frankfurt,211,8.92
130.162.165.68,443,443,true,FRA,Europe,Frankfurt,182,8.82
130.61.107.238,8443,443,true,FRA,Europe,Frankfurt,169,8.81
141.147.78.45,443,443,true,FRA,Europe,Frankfurt,175,8.79
141.147.90.223,443,443,true,FRA,Europe,Frankfurt,185,8.74
89.168.112.118,2096,443,true,FRA,Europe,Frankfurt,197,8.72
141.147.41.87,443,443,true,FRA,Europe,Frankfurt,166,8.72
132.145.247.128,443,443,true,FRA,Europe,Frankfurt,169,8.67
144.21.55.194,443,443,true,FRA,Europe,Frankfurt,173,8.66
150.230.124.216,443,443,true,FRA,Europe,Frankfurt,176,8.63
89.168.112.118,2053,443,true,FRA,Europe,Frankfurt,171,8.59
79.72.94.2,443,443,true,AMS,Europe,Amsterdam,197,8.55
143.47.234.215,443,443,true,FRA,Europe,Frankfurt,208,8.48
141.147.110.124,443,443,true,FRA,Europe,Frankfurt,161,8.47
143.47.176.88,443,443,true,FRA,Europe,Frankfurt,187,8.43
144.21.39.88,443,443,true,FRA,Europe,Frankfurt,185,8.41
64.110.91.167,443,443,true,SIN,Asia Pacific,Singapore,93,8.36
79.72.84.249,443,443,true,FRA,Europe,Frankfurt,214,8.27
130.162.181.155,443,443,true,FRA,Europe,Frankfurt,168,8.26
164.152.26.70,2052,443,true,ORD,North America,Chicago,227,8.25
130.61.203.115,8443,443,true,FRA,Europe,Frankfurt,197,8.22
141.147.82.151,443,443,true,FRA,Europe,Frankfurt,178,8.15
144.24.243.207,443,443,true,MXP,Europe,Milan,162,8.09
79.72.65.174,443,443,true,FRA,Europe,Frankfurt,198,8.07
89.168.77.23,443,443,true,FRA,Europe,Frankfurt,164,8.06
143.47.246.210,443,443,true,FRA,Europe,Frankfurt,172,7.98
130.162.58.40,443,443,true,FRA,Europe,Frankfurt,170,7.95
141.144.193.239,443,443,true,FRA,Europe,Frankfurt,177,7.87
79.72.76.90,443,443,true,FRA,Europe,Frankfurt,216,7.86
152.67.233.64,443,443,true,SJC,North America,San Jose,176,7.81
158.180.40.83,443,443,true,FRA,Europe,Frankfurt,169,7.79
130.61.170.78,443,443,true,FRA,Europe,Frankfurt,188,7.77
143.47.246.26,443,443,true,FRA,Europe,Frankfurt,197,7.69
132.145.54.84,2053,443,true,LHR,Europe,London,171,7.58
141.144.202.94,443,443,true,FRA,Europe,Frankfurt,160,7.56
132.145.54.84,8443,443,true,LHR,Europe,London,166,7.55
158.101.212.176,443,443,true,FRA,Europe,Frankfurt,185,7.54
140.238.120.163,443,443,true,FRA,Europe,Frankfurt,174,7.47
144.24.161.142,8443,443,true,FRA,Europe,Frankfurt,193,7.22
89.168.85.223,443,443,true,FRA,Europe,Frankfurt,221,7.18
79.72.72.175,443,443,true,FRA,Europe,Frankfurt,161,7.16
130.61.239.203,2053,443,true,FRA,Europe,Frankfurt,160,7.14
144.21.33.46,443,443,true,FRA,Europe,Frankfurt,186,7.12
89.168.122.44,443,443,true,FRA,Europe,Frankfurt,176,7.09
130.61.239.203,443,443,true,FRA,Europe,Frankfurt,168,7.08
150.136.241.40,443,443,true,IAD,North America,Ashburn,315,7.02
204.216.105.106,8443,8443,true,YUL,North America,Montréal,241,6.99
143.47.246.246,443,443,true,FRA,Europe,Frankfurt,185,6.93
130.61.181.61,2096,443,true,FRA,Europe,Frankfurt,174,6.90
79.72.64.211,443,443,true,FRA,Europe,Frankfurt,224,6.85
164.152.26.70,2086,443,true,ORD,North America,Chicago,209,6.73
132.145.254.169,443,443,true,FRA,Europe,Frankfurt,162,6.48
141.145.199.188,443,443,true,CDG,Europe,Paris,153,6.40
158.178.192.221,443,443,true,CDG,Europe,Paris,155,6.34
130.61.181.61,8443,443,true,FRA,Europe,Frankfurt,178,6.32
141.145.205.115,8443,8443,true,CDG,Europe,Paris,221,6.26
152.70.155.147,2096,2096,true,LAX,North America,Los Angeles,190,6.16
40.233.70.7,8443,443,true,YYZ,North America,Toronto,233,6.09
141.147.190.128,443,443,true,NRT,Asia Pacific,Tokyo,70,5.93
140.238.37.208,443,443,true,NRT,Asia Pacific,Tokyo,68,5.91
143.47.243.144,8443,443,true,LHR,Europe,London,177,5.87
158.179.172.95,443,443,true,ICN,Asia Pacific,Seoul,116,5.79
152.70.155.147,2053,2053,true,LAX,North America,Los Angeles,183,5.76
152.70.155.147,2083,2083,true,LAX,North America,Los Angeles,196,5.75
138.2.18.184,443,443,true,NRT,Asia Pacific,Tokyo,156,5.75
150.230.149.208,443,443,true,FRA,Europe,Frankfurt,214,5.73
64.110.103.69,443,443,true,KIX,Asia Pacific,Osaka,74,5.73
192.9.180.162,443,443,true,SYD,Oceania,Sydney,95,5.71
158.101.141.147,8443,443,true,NRT,Asia Pacific,Tokyo,75,5.65
168.138.46.67,443,443,true,KIX,Asia Pacific,Osaka,74,5.64
140.238.58.181,2053,443,true,NRT,Asia Pacific,Tokyo,68,5.61
193.123.250.209,2087,2096,true,ICN,Asia Pacific,Seoul,109,5.59
132.226.10.65,443,443,true,NRT,Asia Pacific,Tokyo,72,5.58
64.110.104.30,443,443,true,KIX,Asia Pacific,Osaka,71,5.56
158.179.207.182,8443,443,true,ARN,Europe,Stockholm,224,5.46
140.238.195.98,443,443,true,SYD,Oceania,Sydney,92,5.46
84.235.167.7,443,443,true,FRA,Europe,Frankfurt,186,5.45
193.122.197.111,443,443,true,IAD,North America,Ashburn,360,5.38
131.186.27.112,2096,443,true,ICN,Asia Pacific,Seoul,112,5.37
168.138.50.249,443,443,true,KIX,Asia Pacific,Osaka,98,5.33
159.13.46.42,443,443,true,SYD,Oceania,Sydney,134,5.29
152.69.178.16,443,443,true,MEL,Oceania,Melbourne,100,5.29
129.159.241.172,443,443,true,FRA,Europe,Frankfurt,222,5.28
150.230.149.208,443,443,true,FRA,Europe,Frankfurt,165,5.27
129.146.248.140,443,443,true,LAX,North America,Los Angeles,210,5.10
143.47.243.144,2053,443,true,LHR,Europe,London,165,5.09
158.179.207.182,2053,443,true,ARN,Europe,Stockholm,218,5.04
193.122.110.171,443,443,true,NRT,Asia Pacific,Tokyo,86,5.03
131.186.28.236,443,443,true,NRT,Asia Pacific,Tokyo,108,4.95
129.146.7.98,443,443,true,LAX,North America,Los Angeles,218,4.94
143.47.242.195,443,443,true,LHR,Europe,London,155,4.91
152.70.71.23,443,443,true,CDG,Europe,Paris,67,4.88
152.70.59.90,8443,443,true,AMS,Europe,Amsterdam,189,4.83
152.67.78.184,443,443,true,FRA,Europe,Frankfurt,149,4.82
84.235.169.234,443,443,true,AMS,Europe,Amsterdam,177,4.80
192.9.159.65,443,443,true,SJC,North America,San Jose,170,4.78
152.70.112.158,443,443,true,SJC,North America,San Jose,226,4.78
